col. #;Transformation;mnemonic ;Series;Release;Timing (approx.);Pub Lag*;Source for data;Block Name;Proprietary Issue?;Why Call it Proprietary or Not
164;3;PCEPND;PCE prices:  nondurables;Personal Income;Day after GDP - release;m-1;http://www.bea.gov/bea/newsrel/pinewsrelease.htm;GDP & Income;No;
165;3;PCEPSER;PCE prices:  services;Personal Income;Day after GDP - release;m-1;http://www.bea.gov/bea/newsrel/pinewsrelease.htm;GDP & Income;No;
166;3;HRLYEGS_TOTPR;Avg. hourly earnings:  Total nonagricultural ($);Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
167;3;HRLYEGS_CONS;Avg. hourly earnings:  Construction ($);Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
168;3;HRLYEGS_MFG;Avg. hourly earnings:  Mfg. ($);Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
169;3;TRSPWH;Avg. hourly earnings:  Transportation ($);Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
170;3;RET;Avg. hourly earnings:  Retail trade ($);Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
171;3;WHOLES;Avg. hourly earnings:  Wholesale trade ($);Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
172;3;FINAN;Avg. hourly earnings:  Finance, insurance, and real estate ($);Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
173;3;PBS;Avg. hourly earnings:  Professional and business services ($);Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
174;3;EHS;Avg. hourly earnings:  Education and health services ($);Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
175;3;OTHSERV;Avg. hourly earnings:  Other services;Employment Situation;1st Fri. of month;m;www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
176;1;EXPORT;Total merchandise exports, total census basis (mil of $);U.S. Intern. Trade;2nd full week of month;m-2;www.census.gov/foreign-trade/Press-Release/current_press_release/press.html;Mixed 1;No;check this link
177;1;IMP_CUST;Total merchandise imports, total census basis (mil of $);U.S. Intern. Trade;2nd full week of month;m-2;www.census.gov/foreign-trade/Press-Release/current_press_release/press.html;Mixed 1;No;check this link
178;1;IMP_CIF;Total merchandise imports (CIF value) (mil of $) (NSA);U.S. Intern. Trade;2nd full week of month;m-3;www.census.gov/foreign-trade/Press-Release/current_press_release/press.html;Mixed 1;No;check this link
179;2;CONF_CFB;Index of consumer confidence;Consumer Confidence Index;Last Tues. of month;m;;Surveys 1;Yes;ProprietarySeries.Hausman.doc
180;2;CONF_UM;Michigan Survey:  Index of consumer sentiment;Michigan Survey of Consumers;Last Fri. of the month ;m;www.sca.isr.umich.edu/main.php;Surveys 1;Unknown;Waiting for e-mail response
181;2;PHBOS_GA;Outlook: General activity;Business Outlook Survey;3rd Thursday of month;m;www.phil.frb.org/econ/bos/index.cfm;Mixed 2;No;
182;2;PHBOS_NO;Outlook: New Orders;Business Outlook Survey;3rd Thursday of month;m;www.phil.frb.org/econ/bos/index.cfm;Mixed 2;No;
183;2;PHBOS_SHP;Outlook:  Shipments;Business Outlook Survey;3rd Thursday of month;m;www.phil.frb.org/econ/bos/index.cfm;Mixed 2;No;
184;2;PHBOS_INV;Outlook:  Inventories;Business Outlook Survey;3rd Thursday of month;m;www.phil.frb.org/econ/bos/index.cfm;Mixed 2;No;
185;2;PHBOS_UNFO;Outlook:  Unfilled orders;Business Outlook Survey;3rd Thursday of month;m;www.phil.frb.org/econ/bos/index.cfm;Mixed 2;No;
186;2;PHBOS_PP;Outlook:  Prices paid;Business Outlook Survey;3rd Thursday of month;m;www.phil.frb.org/econ/bos/index.cfm;Mixed 2;No;
187;2;PHBOS_PR;Outlook:  Prices received;Business Outlook Survey;3rd Thursday of month;m;www.phil.frb.org/econ/bos/index.cfm;Mixed 2;No;
188;2;PHBOS_EMP;Outlook:  Employment;Business Outlook Survey;3rd Thursday of month;m;www.phil.frb.org/econ/bos/index.cfm;Mixed 2;No;
189;2;PHBOS_HRSW;Outlook:  Work hours;Business Outlook Survey;3rd Thursday of month;m;www.phil.frb.org/econ/bos/index.cfm;Mixed 2;No;
190;1;DEFICIT;Federal govt. deficit or surplus (bil of $) (NSA);Monthly Treasury Statement;Middle of month;m-1;http://www.fms.treas.gov/mts/;Mixed 1;No;
191;1;MFG_MIDW_IND;Chicago Fed Midwest Mfg. Survey:  General activity;Chicago Fed MM1 Survey;Last week of month;m-1;http://www.chicagofed.org/economic_research_and_data/cfmmi.cfm;Surveys 1;No;
192;1;SALES_RETAIL_NOM;Sales:  Retail & food services, total (mil of $);Adv. Monthly sales;11-15th of month;m-1;www.census.gov/svsd/www/fullpub.pdf;Mixed 1;No;
193;0;RGDPGR;Real GDP growth (annualized qurterly change);GDP - release;Last week of month;q-1;www.bea.gov/National/Index.htm;GDP & Income;No;
